Player,Team,Type,Location,Games,TOTAL POINTS,SUCCESSFUL RAIDS,RAID POINTS,SUCCESSFUL TACKLES,TACKLE POINTS,AVG RAID POINTS,AVG TACKLE POINTS,DO-OR-DIE RAID POINTS,SUPER RAIDS,SUPER TACKLES,SUPER 10S,HIGH 5S
Sachin Narwal,Jaipur Pink Panthers,All Rounder,,11,12,7,11,1,1,1.1,,3,1,,,
Pavan T. R.,Jaipur Pink Panthers,Defender, Right Cover,14,12,,,10,12,,0.86,,,2,,
Surender Singh,U.P. Yoddha,Raider,,4,11,5,10,1,1,2.5,,5,,,,
Dong Geon Lee,U Mumba,Raider,,4,10,7,10,,,2.5,,4,,,,
Ruturaj Shivaji Koravi,Gujarat Fortunegiants,Defender,,13,10,,,10,10,,0.77,,,,,
Sunil Siddhgavali,Jaipur Pink Panthers,Defender,,13,9,,,6,9,,0.69,,,3,,
Armaan,Telugu Titans,All Rounder,,6,9,6,9,,,1.5,0,2,1,,,
Sagar,Tamil Thalaivas,Defender, Right Corner,9,9,,,8,9,,1,,,1,,
Sushant Sail,Puneri Paltan,Raider,,8,8,5,8,,,1,,1,,,,
Ankit Beniwal,Telugu Titans,Raider,,5,8,5,7,1,1,1.4,,,,,,
Kuldeep Singh,Haryana Steelers,Defender,,9,8,,,8,8,,0.89,,,,,
Victor Onyango Obiero,Tamil Thalaivas,All Rounder,,3,8,4,6,1,2,2,,,,1,,
Saeid Ghaffari,Dabang Delhi K.C.,Defender, Left Cover,9,8,,,8,8,,0.89,,,,,
Mohsen Maghsoudloujafari,U.P. Yoddha,All Rounder,,10,7,3,4,2,3,0.57,0.3,2,,1,,
Darshan Kadian,Puneri Paltan,Raider,,6,7,3,6,1,1,1,0.17,1,,,,
Viraj Vishnu Landge,Bengal Warriors,Defender, Left Cover,8,7,,,7,7,,0.88,,,,,
Vinod Kumar,Gujarat Fortunegiants,All Rounder,,7,7,6,6,1,1,1,,,,,,
Ankush,U.P. Yoddha,Raider,,3,7,4,6,1,1,2,,2,,,,
Sanket Sawant,Puneri Paltan,Defender, Left Cover,5,7,,,7,7,,1.4,,,,,
M. Abishek,Tamil Thalaivas,Defender, Right Cover,5,6,,,6,6,,1.2,,,,,
